Topics for Discussion,Discussant,Priority
ESC-SAR,bjk-ql,now
ICEMAN survival,bjk-mz,now
FMT manufacture,bjk,now
MALDI spectra,bjk,now
MERLIN,bjk-lc,now
critical appraisal,bjk,now
MIRA2 analysis,bjk-am,later
FMT-SCDI,bjk-ld,later
mVACS & mVACS-PRO,bjk-rt,later
PEACH REACT,bjk-rt,later
INTEGRATE,el,later
AM-K,am,later
SX-K,sx,later
STOP-CDI,mz,later
SPACEMAN,kc,later
NEXUS,mz,later
DB-CSF-db,bjk,later
NARMS-db,bjk,later
SX-LDI,sx,later
AM-GOL,am,later
AIM/ABOUT-COVID,bjk-pharmacoepi-caprecap,later
