Equipment Category and Description,Make,Model
ARES 1 Panasonic MDFU76VC,Panasonic,MDFU76VC
ARES 2 PHCBI MDF-DU702VH,PHCBI,MDF-DU702VH
ARES Central AEGIS GL-U-19M,AEGIS,GL-U-19M
ARES Lab -20 Aegis (Smaller),Aegis,NA
SPREAD Thermosci TSX500086D,ThermoFisher,TSX500086D
SEMAPHORE Heracell 150 Incubator Freezer,ThermoFisher,Heracell 150
ARES Centrifuge Thermosci,ThermoFisher,Sorvall X4 Pro-MD
ARES Centrifuge HighPlate Rotor,ThermoFisher,HighPLate 6000 Microplate
ARES Shaker Thermosci MAX Q 400,ThermoFisher,MaxQ 40000
Sprectrostar Omega,BMG Lab Tech,Spectrostar Omega
Spectrostar Nano,BMG Lab Tech,Spectrostar Nano
Thermo 1300 Series A2,ThermoFisher,1300 Series A2
1 Biogard Hood,Biogard,NA
2 CleanPrep Station Mystaire,Mystaire,Clean Prep
ARES Fridge,ThermoFisher,TSG REF 45 PNT SLIDE 115V/60HZ
ARES Fridge 2,Aegis,NA
QuantStudio,ThermoFisher,QuantStudio5
Computer Paired,Dell Laptop,NA
Hood,ThermoFisher,NA
PCR Air Science Hood,Air Science,NA
ThermoSci Cenrifuge Sorvall Legend X1R,ThermoFisher,Sorvall Legend X1R
Freezer  PHCBI MDF-DU702VH-PA,PHCBI,MDF-DU702VH-PA
Aegis Fridge,Aegis,NA
Isotemp Fisherbrand Freezer,Isotemp,NA
Brady Label Printer i33000 (ARES),Brady,i33000
Brady Label Printer i33000 (717 blk),Brady,i33000
Brady Label Printer i33000 (PMT),Brady,i33000
Vetri 96 Well Thermal Cycler,Vertri,NA
